Date,MSFT,GOOGL,CVX,IBM,SBUX,MCD,AAPL,^FVX,^S&P500
12/1/2014,42.663837,523.521423,96.993088,138.69455,38.622932,84.586273,103.664352,1.653,2058.899902
1/1/2015,37.106987,531.594604,88.649506,132.530914,41.202499,83.448837,110.03186,1.187,1994.98999
2/1/2015,40.275764,555.343933,92.237686,139.991272,44.008015,89.280502,120.644371,1.505,2104.5
3/1/2015,37.611565,545.000854,91.659576,139.719696,44.904213,88.726936,117.32074,1.375,2067.889893
4/1/2015,44.993267,537.340027,96.968124,149.112686,47.019024,87.916527,117.999596,1.442,2085.51001
5/1/2015,43.346725,532.109985,89.930824,147.685028,49.276089,87.351944,122.836502,1.467,2107.389893
6/1/2015,41.10532,520.51001,85.06868,143.770752,51.012112,87.321167,118.757591,1.628,2063.110107
7/1/2015,43.479465,625.609985,78.023003,143.178543,55.112503,91.720764,114.847298,1.548,2103.840088
8/1/2015,40.518764,637.609985,71.418198,130.715927,53.228802,89.396965,106.913086,1.484,1972.180054
9/1/2015,41.479473,608.419983,70.433998,129.198746,54.224617,91.296471,104.905174,1.375,1920.030029
10/1/2015,49.333019,710.809998,81.149109,124.840721,59.690956,104.009224,113.655197,1.528,2079.360107
11/1/2015,50.935589,742.599976,81.541985,124.252518,58.565254,105.778992,112.513885,1.654,2080.409912
12/1/2015,52.345066,758.880005,81.308678,123.798798,57.453255,110.325089,100.540207,1.758,2043.939941
1/1/2016,51.977104,742.950012,78.154312,112.257324,58.161484,115.592018,92.975334,1.335,1940.23999
2/1/2016,48.004986,697.77002,75.415703,117.870628,55.711372,109.437943,92.354485,1.22,1932.22998
3/1/2016,52.48333,744.950012,87.319183,137.631485,57.324139,118.25547,104.667839,1.224,2059.73999
4/1/2016,47.389889,693.01001,93.524879,132.624237,53.992237,119.017609,90.022591,1.279,2065.300049
5/1/2016,50.364227,735.719971,92.444832,139.712555,52.705563,114.849319,95.89991,1.359,2096.949951
6/1/2016,48.965343,692.099976,96.964714,140.598862,55.038719,113.230919,92.367805,1.011,2098.860107
7/1/2016,54.237942,768.789978,94.791031,148.787659,55.934834,111.513535,100.686714,1.033,2173.600098
8/1/2016,54.984337,767.049988,93.033585,147.175842,54.181152,109.627342,102.51281,1.18,2170.949951
9/1/2016,55.461845,777.289978,96.20108,148.418915,52.348976,110.192757,109.81955,1.156,2168.27002
10/1/2016,57.695721,784.539978,97.911621,143.597733,51.314377,107.527725,110.29554,1.313,2126.149902
11/1/2016,58.023098,758.039978,104.277039,151.567627,56.052273,113.927612,107.361847,1.834,2198.810059
12/1/2016,60.237511,771.820007,111.117592,156.49704,53.931999,117.172005,113.088043,1.889,2238.830078
1/1/2017,62.670673,796.789978,105.122719,164.539215,53.640575,117.990242,118.487602,1.908,2278.870117
